bonus_id,empID,hours_overtime,bonus_amount,bonus_date
333,225,3,3000,2024-10-08
334,226,10,10000,2025-04-05
335,227,10,10000,2024-08-30
336,227,9,9000,2025-02-02
337,227,10,10000,2024-11-09
338,228,4,4000,2024-09-05
339,228,4,4000,2024-11-04
340,229,2,2000,2024-07-05
341,229,10,10000,2025-03-31
342,229,6,6000,2025-02-10
343,230,1,1000,2024-10-27
344,230,9,9000,2024-10-07
345,231,6,6000,2025-04-28
346,233,6,6000,2024-06-28
347,233,9,9000,2024-09-07
348,233,3,3000,2025-05-03
349,234,9,9000,2024-08-23
350,235,6,6000,2025-05-08
351,235,9,9000,2025-02-16
352,235,5,5000,2024-08-12
353,236,10,10000,2025-04-16
354,237,9,9000,2025-04-15
355,237,10,10000,2025-04-26
356,237,8,8000,2025-01-21
357,239,7,7000,2024-08-07
358,239,2,2000,2024-06-30
359,241,7,7000,2024-08-17
360,241,5,5000,2024-06-19
361,243,1,1000,2025-01-08
362,244,7,7000,2024-11-28
363,245,6,6000,2025-02-17
364,245,8,8000,2024-10-08
365,245,5,5000,2024-07-05
366,246,10,10000,2024-06-07
367,246,3,3000,2025-02-07
368,246,8,8000,2024-08-16
369,247,5,5000,2024-11-13
370,247,6,6000,2024-09-06
371,247,5,5000,2024-09-26
372,248,2,2000,2024-12-10
373,248,9,9000,2025-03-30
374,249,2,2000,2025-05-18
375,249,6,6000,2024-05-29
376,250,6,6000,2024-11-16
377,250,6,6000,2024-11-16
378,250,8,8000,2024-06-09
379,251,1,1000,2024-06-27
380,251,1,1000,2024-05-30
381,251,5,5000,2025-02-01
382,252,3,3000,2024-06-25
383,252,9,9000,2024-11-27
384,252,1,1000,2024-05-29
385,253,2,2000,2024-12-13
386,253,3,3000,2024-08-02
387,253,4,4000,2024-11-13
388,254,3,3000,2025-01-18
389,255,10,10000,2024-11-24
390,256,9,9000,2024-08-14
391,260,2,2000,2025-01-25
392,261,1,1000,2024-12-31
393,261,2,2000,2024-12-02
394,262,4,4000,2025-05-10
395,262,7,7000,2024-06-01
396,263,8,8000,2024-11-17
397,264,10,10000,2025-05-12
398,264,4,4000,2024-09-24
399,265,9,9000,2024-11-27
400,265,1,1000,2024-05-25
401,266,5,5000,2024-08-08
402,266,8,8000,2024-07-30
403,267,8,8000,2024-08-14
404,267,4,4000,2025-05-25
405,268,3,3000,2024-07-11
406,270,10,10000,2024-08-02
407,270,3,3000,2025-03-07
408,270,4,4000,2025-03-09
409,272,9,9000,2024-10-10
410,272,3,3000,2025-03-02
411,273,1,1000,2025-01-03
412,273,1,1000,2024-11-18
413,273,9,9000,2024-08-02
414,274,3,3000,2025-05-11
415,275,3,3000,2025-01-14
416,277,7,7000,2024-06-19
417,278,4,4000,2024-12-06
418,278,5,5000,2024-10-08
419,278,6,6000,2024-08-08
420,279,10,10000,2024-08-15
421,279,6,6000,2024-07-10
422,280,7,7000,2024-08-09
423,280,9,9000,2024-09-12
424,280,8,8000,2024-10-18
425,282,2,2000,2024-07-22
426,282,4,4000,2024-05-27
427,283,3,3000,2025-04-24
428,283,4,4000,2025-03-03
429,285,5,5000,2025-03-28
430,286,7,7000,2024-07-20
431,286,3,3000,2024-08-07
432,286,5,5000,2024-11-15
433,288,3,3000,2024-11-14
434,288,5,5000,2024-10-23
435,288,6,6000,2024-10-27
436,290,10,10000,2024-12-17
437,291,9,9000,2024-12-12
438,292,9,9000,2025-05-22
439,293,1,1000,2025-05-15
440,294,4,4000,2024-08-19
441,294,6,6000,2024-07-05
442,294,3,3000,2025-04-13
443,296,7,7000,2025-05-14
444,296,7,7000,2025-01-05
445,297,4,4000,2024-08-17
446,297,3,3000,2024-12-16
447,298,6,6000,2024-05-25
448,298,6,6000,2024-07-05
449,298,3,3000,2024-10-19
450,300,8,8000,2024-07-26
451,301,9,9000,2025-05-21
452,301,10,10000,2024-07-30
453,301,9,9000,2024-06-18
454,302,4,4000,2025-02-17
455,303,6,6000,2024-08-21
456,303,5,5000,2025-02-07
457,304,3,3000,2025-04-22
458,304,7,7000,2025-05-06
459,304,5,5000,2025-04-03
460,305,4,4000,2024-07-08
461,305,1,1000,2024-06-18
462,305,10,10000,2024-12-21
463,306,6,6000,2025-02-18
464,307,9,9000,2024-09-25
465,309,6,6000,2025-04-30
466,311,2,2000,2024-09-07
467,311,5,5000,2024-08-04
468,312,8,8000,2024-11-28
469,312,4,4000,2024-10-17
470,314,7,7000,2024-06-11
471,314,2,2000,2025-05-18
472,314,5,5000,2024-10-17
473,315,5,5000,2024-07-20
474,315,1,1000,2025-03-24
475,315,7,7000,2025-02-23
476,318,1,1000,2024-08-31
477,319,10,10000,2024-09-07
478,320,8,8000,2024-11-10
479,321,1,1000,2025-03-11
480,321,2,2000,2025-03-13
481,321,8,8000,2025-03-23
482,324,8,8000,2024-09-25
483,324,9,9000,2025-03-13
484,324,7,7000,2025-05-19
485,326,2,2000,2024-12-17
486,328,7,7000,2024-07-24
487,329,1,1000,2024-11-22
488,331,5,5000,2024-06-10
489,332,7,7000,2024-10-05
490,333,5,5000,2025-04-23
491,334,1,1000,2025-01-21
492,334,5,5000,2024-07-08
493,336,8,8000,2024-06-07
494,337,4,4000,2025-04-17
495,337,4,4000,2024-06-21
496,338,1,1000,2025-01-03
497,338,5,5000,2025-03-25
498,339,6,6000,2024-08-12
499,339,7,7000,2024-07-17
500,339,8,8000,2024-10-04
501,341,10,10000,2024-12-21
502,341,6,6000,2024-06-30
503,341,9,9000,2024-11-05
504,342,7,7000,2024-08-24
505,342,8,8000,2024-06-16
506,344,2,2000,2024-09-15
507,346,7,7000,2024-08-05
508,346,2,2000,2024-11-21
509,348,7,7000,2024-11-21
510,348,5,5000,2025-02-24
511,348,1,1000,2024-07-16
512,349,4,4000,2025-01-14
513,349,6,6000,2025-04-23
514,350,5,5000,2025-02-14
515,351,8,8000,2024-06-13
516,351,8,8000,2025-03-07
517,351,8,8000,2024-11-26
518,352,4,4000,2024-08-03
519,352,3,3000,2025-02-27
520,353,9,9000,2025-01-16
521,353,7,7000,2025-03-10
522,353,8,8000,2024-06-23
523,354,8,8000,2024-10-13
524,354,6,6000,2024-10-28
525,355,6,6000,2025-03-23
526,355,10,10000,2024-05-27
527,355,10,10000,2024-09-18
528,358,7,7000,2025-05-11
529,359,7,7000,2025-02-10
530,359,10,10000,2024-06-09
531,360,5,5000,2024-11-29
532,360,4,4000,2024-08-27
533,362,5,5000,2024-06-14
534,368,3,3000,2025-03-05
535,368,9,9000,2024-09-12
536,368,8,8000,2024-06-10
537,369,2,2000,2024-10-03
538,369,6,6000,2024-08-10
539,370,7,7000,2024-09-04
540,370,10,10000,2024-10-16
541,371,8,8000,2024-10-04
542,371,1,1000,2024-06-20
543,373,2,2000,2024-12-10
544,374,10,10000,2025-03-01
545,374,6,6000,2024-05-26
546,375,3,3000,2025-04-08
547,375,5,5000,2025-02-18
548,377,7,7000,2024-07-09
549,377,2,2000,2025-05-12
550,378,8,8000,2024-06-09
551,378,5,5000,2025-03-14
552,379,4,4000,2025-04-24
553,379,7,7000,2024-07-13
554,379,7,7000,2025-02-23
555,380,8,8000,2024-10-24
556,380,9,9000,2025-05-17
557,380,9,9000,2025-01-02
558,382,1,1000,2025-02-15
559,382,5,5000,2024-11-28
560,382,3,3000,2024-08-14
561,384,5,5000,2025-04-02
562,384,9,9000,2025-04-28
563,386,8,8000,2025-01-22
564,386,4,4000,2024-09-07
565,386,4,4000,2024-08-24
566,387,1,1000,2024-12-13
567,387,10,10000,2024-07-13
568,387,7,7000,2024-12-24
569,388,7,7000,2025-04-13
570,389,7,7000,2024-08-26
571,389,7,7000,2024-10-23
572,389,9,9000,2025-02-10
573,390,5,5000,2025-01-17
574,391,5,5000,2024-07-27
575,392,7,7000,2024-08-14
576,392,5,5000,2024-12-16
577,393,10,10000,2024-10-29
578,394,4,4000,2024-06-14
579,394,4,4000,2024-11-20
580,396,2,2000,2024-12-24
581,396,2,2000,2025-04-21
582,396,1,1000,2024-07-12
583,398,4,4000,2025-01-05
584,398,2,2000,2024-06-28
585,398,1,1000,2024-11-30
586,399,1,1000,2024-09-09
587,400,10,10000,2025-01-15
588,400,3,3000,2025-01-14
589,400,8,8000,2025-04-29
590,401,8,8000,2024-12-03
591,401,5,5000,2024-07-16
592,401,6,6000,2024-06-05
593,402,5,5000,2024-06-27
594,404,9,9000,2024-07-01
595,404,8,8000,2024-12-26
596,404,6,6000,2024-12-22
597,406,9,9000,2025-04-07
598,407,6,6000,2024-08-09
599,407,7,7000,2024-12-13
600,408,5,5000,2025-03-26
601,408,6,6000,2024-05-27
602,409,9,9000,2024-10-04
603,409,4,4000,2024-11-10
604,409,8,8000,2024-06-06
605,410,7,7000,2024-10-13
606,410,1,1000,2024-06-04
607,412,10,10000,2024-12-10
608,412,7,7000,2024-12-30
609,412,10,10000,2025-03-29
610,413,5,5000,2024-06-28
611,414,7,7000,2025-04-25
612,414,2,2000,2024-08-09
613,414,2,2000,2024-09-18
614,416,6,6000,2024-12-30
615,416,1,1000,2024-09-25
616,416,3,3000,2025-03-28
617,417,8,8000,2024-12-29
618,417,8,8000,2024-07-16
619,418,8,8000,2024-08-03
620,418,10,10000,2024-06-07
621,420,9,9000,2024-11-21
622,420,3,3000,2024-06-02
623,420,3,3000,2024-12-20
624,422,3,3000,2025-02-19
625,422,4,4000,2024-05-31
626,423,1,1000,2024-08-28
627,423,10,10000,2024-10-12
628,424,5,5000,2024-07-15
629,425,1,1000,2024-07-31
630,425,2,2000,2025-04-25
631,426,1,1000,2025-04-12
632,426,7,7000,2024-08-29
633,427,5,5000,2024-09-30
634,427,7,7000,2025-01-30
635,427,2,2000,2024-11-20
636,428,2,2000,2024-08-07
637,428,2,2000,2025-04-10
638,429,7,7000,2024-09-29
639,429,7,7000,2024-05-28
640,432,7,7000,2025-02-11
641,432,9,9000,2025-04-07
642,432,10,10000,2024-07-23
643,433,1,1000,2024-07-03
644,433,1,1000,2025-05-01
645,434,7,7000,2024-09-21
646,434,4,4000,2024-10-29
647,435,2,2000,2024-11-03
648,435,2,2000,2025-02-12
649,435,1,1000,2024-09-14
650,436,6,6000,2024-06-05
651,436,9,9000,2024-06-07
652,437,2,2000,2025-02-22
653,437,7,7000,2025-04-20
654,437,4,4000,2024-12-06
655,438,1,1000,2024-08-30
656,440,2,2000,2024-07-12
657,440,7,7000,2024-07-23
658,441,7,7000,2024-05-28
659,442,3,3000,2024-12-11
660,442,7,7000,2024-11-07
661,443,8,8000,2024-08-26
662,444,10,10000,2024-08-29
663,444,8,8000,2025-01-23
664,444,7,7000,2024-07-15
665,445,4,4000,2024-09-25
666,445,3,3000,2025-02-27
667,447,4,4000,2025-02-19
668,448,5,5000,2024-10-15
669,448,2,2000,2025-03-31
670,448,6,6000,2025-01-08
671,449,2,2000,2025-05-13
672,451,6,6000,2025-04-28
673,452,5,5000,2024-08-08
674,452,4,4000,2025-03-18
675,452,10,10000,2024-12-29
676,454,5,5000,2024-12-25
677,457,8,8000,2024-08-18
678,457,1,1000,2025-02-19
679,458,5,5000,2025-05-10
680,459,9,9000,2024-09-29
681,459,8,8000,2025-05-20
682,459,9,9000,2024-10-02
683,460,7,7000,2025-04-06
684,460,8,8000,2025-03-20
685,461,4,4000,2024-11-10
686,461,1,1000,2025-01-19
687,461,8,8000,2024-09-07
688,462,8,8000,2025-01-22
689,462,4,4000,2024-11-25
690,462,3,3000,2025-03-27
691,464,2,2000,2024-07-01
692,465,4,4000,2025-02-05
693,466,4,4000,2024-07-08
694,467,2,2000,2025-02-15
695,470,9,9000,2024-07-27
696,470,4,4000,2024-10-21
697,472,4,4000,2025-03-28
698,472,6,6000,2024-12-31
699,473,10,10000,2024-09-21
700,473,2,2000,2024-11-07
701,474,5,5000,2025-05-14
702,474,7,7000,2024-07-07
703,474,3,3000,2024-12-27
704,475,2,2000,2024-06-06
705,475,9,9000,2024-06-30
706,475,1,1000,2025-03-25
707,476,5,5000,2024-10-02
708,477,3,3000,2025-03-21
709,477,6,6000,2025-04-13
710,477,8,8000,2024-10-08
711,478,1,1000,2024-10-29
712,478,1,1000,2025-03-31
713,479,8,8000,2024-10-29
714,479,6,6000,2024-07-08
715,479,5,5000,2024-10-04
716,481,1,1000,2024-08-12
717,482,3,3000,2025-01-11
718,482,10,10000,2024-09-12
719,482,7,7000,2025-03-31
720,484,6,6000,2024-09-02
721,484,4,4000,2024-12-01
722,485,4,4000,2024-06-21
723,485,8,8000,2024-06-22
724,485,5,5000,2024-05-29
725,486,10,10000,2024-08-23
726,486,10,10000,2024-06-18
727,486,7,7000,2024-06-29
728,487,4,4000,2024-06-09
729,487,10,10000,2024-08-21
730,487,2,2000,2025-03-23
731,488,9,9000,2025-04-18
732,488,1,1000,2024-06-08
733,488,9,9000,2024-07-28
734,489,2,2000,2024-09-07
735,489,8,8000,2025-04-16
736,491,2,2000,2024-11-03
737,491,8,8000,2025-03-27
738,491,7,7000,2025-04-16
739,492,2,2000,2024-09-18
740,493,5,5000,2024-11-15
741,493,1,1000,2024-08-30
742,493,4,4000,2024-09-02
743,494,4,4000,2025-04-10
744,494,6,6000,2025-05-22
745,494,1,1000,2025-04-19
746,495,1,1000,2025-05-21
747,495,8,8000,2025-05-05
748,496,6,6000,2024-08-06
749,496,9,9000,2025-01-28
750,497,4,4000,2025-01-16
751,497,2,2000,2024-09-06
752,497,10,10000,2024-11-20
753,498,10,10000,2024-11-06
754,498,1,1000,2024-12-17
755,498,1,1000,2025-03-18
756,499,7,7000,2024-07-22
757,502,6,6000,2025-01-24
758,502,7,7000,2024-11-12
759,503,8,8000,2024-06-12
760,504,10,10000,2024-07-26
761,504,7,7000,2024-06-21
762,505,4,4000,2025-01-05
763,505,2,2000,2024-09-29
764,505,7,7000,2024-10-05
765,507,4,4000,2024-08-12
766,509,4,4000,2025-01-16
767,509,8,8000,2025-02-04
768,509,2,2000,2024-08-10
769,510,9,9000,2025-02-20
770,510,2,2000,2025-02-06
771,510,1,1000,2025-03-25
772,511,5,5000,2024-11-01
773,511,9,9000,2024-08-17
774,511,2,2000,2024-08-06
775,512,10,10000,2024-07-03
776,513,8,8000,2025-04-08
777,514,4,4000,2025-03-24
778,514,8,8000,2025-05-16
779,516,2,2000,2025-04-28
780,516,1,1000,2025-02-19
781,518,9,9000,2025-02-17
782,519,6,6000,2025-05-22
783,519,1,1000,2025-02-05
784,520,3,3000,2024-09-13
785,522,2,2000,2025-02-23
786,523,1,1000,2024-12-12
787,523,8,8000,2024-12-04
788,524,3,3000,2025-01-08
789,524,5,5000,2024-09-12
790,525,4,4000,2024-07-28
791,525,1,1000,2024-07-16
792,525,4,4000,2025-01-26
793,526,8,8000,2025-04-06
794,526,1,1000,2024-08-04
795,526,2,2000,2024-10-19
796,527,6,6000,2025-01-26
797,527,1,1000,2025-02-21
798,532,10,10000,2025-01-08
799,532,1,1000,2024-10-06
800,533,1,1000,2025-02-23
801,536,2,2000,2025-03-17
802,536,8,8000,2025-04-03
803,536,7,7000,2024-11-29
804,537,5,5000,2024-09-14
805,537,5,5000,2024-08-25
806,537,7,7000,2024-08-13
807,538,4,4000,2025-01-26
808,538,4,4000,2024-08-14
809,538,6,6000,2025-01-12
810,539,1,1000,2024-09-26
811,540,2,2000,2024-10-21
812,540,6,6000,2025-02-16
813,542,3,3000,2025-01-03
814,543,7,7000,2025-01-15
815,543,9,9000,2024-08-16
816,543,9,9000,2024-09-20
817,544,3,3000,2024-12-11
818,544,3,3000,2024-08-26
819,545,3,3000,2025-02-19
820,545,7,7000,2024-09-10
821,545,7,7000,2024-09-05
822,547,3,3000,2025-05-16
823,547,9,9000,2025-05-07
824,547,9,9000,2025-01-20
825,548,9,9000,2025-01-01
826,548,1,1000,2024-07-16
827,549,3,3000,2025-03-04
828,549,5,5000,2024-10-28
829,550,1,1000,2025-02-09
830,550,8,8000,2025-01-21
831,551,5,5000,2025-02-12
832,553,7,7000,2024-07-05
833,553,8,8000,2024-06-27
834,553,7,7000,2024-06-07
835,554,7,7000,2025-03-10
836,555,6,6000,2024-10-23
837,555,10,10000,2025-03-04
838,556,4,4000,2025-04-08
839,556,2,2000,2025-05-20
840,556,6,6000,2024-11-20
841,557,5,5000,2024-09-19
842,557,4,4000,2024-12-07
843,558,1,1000,2025-05-10
844,558,5,5000,2025-05-22
845,558,2,2000,2025-04-27
846,559,7,7000,2024-05-29
847,559,5,5000,2024-08-28
848,560,8,8000,2024-07-18
849,560,9,9000,2025-02-11
850,560,3,3000,2025-03-02
851,561,9,9000,2025-01-27
852,563,5,5000,2025-02-25
853,563,3,3000,2025-04-15
854,564,8,8000,2024-07-23
855,564,10,10000,2024-10-04
856,564,6,6000,2024-10-08
857,565,5,5000,2024-12-23
858,566,1,1000,2025-05-09
859,569,6,6000,2024-09-06
860,572,6,6000,2025-03-15
861,573,3,3000,2024-12-24
862,573,3,3000,2024-12-04
863,573,4,4000,2025-04-02
864,575,7,7000,2024-09-01
865,576,5,5000,2024-12-17
866,576,6,6000,2025-03-14
867,576,10,10000,2024-07-20
868,577,9,9000,2025-04-01
869,578,1,1000,2024-06-04
870,578,10,10000,2025-04-21
871,579,5,5000,2024-11-09
