leave_id,empID,leave_type,start_date,end_date,status
54,34,Unpaid,2025-03-20,2025-03-25,Approved
55,34,Sick,2025-09-27,2025-10-04,Pending
56,34,Unpaid,2025-05-07,2025-05-13,Approved
57,36,Unpaid,2025-11-18,2025-11-26,Pending
58,36,Casual,2025-08-05,2025-08-06,Rejected
59,37,Sick,2025-07-25,2025-08-02,Rejected
60,37,Casual,2025-05-22,2025-05-24,Rejected
61,38,Casual,2025-08-07,2025-08-16,Approved
62,39,Paid,2025-06-30,2025-07-04,Rejected
63,39,Paid,2025-10-19,2025-10-28,Rejected
64,39,Paid,2025-07-04,2025-07-13,Pending
65,40,Paid,2025-03-30,2025-04-01,Rejected
66,41,Sick,2025-05-26,2025-06-03,Pending
67,41,Casual,2025-08-27,2025-09-04,Rejected
68,42,Unpaid,2025-06-29,2025-07-09,Approved
69,42,Unpaid,2025-11-12,2025-11-20,Rejected
70,42,Sick,2025-11-20,2025-11-24,Rejected
71,42,Paid,2025-10-12,2025-10-19,Rejected
72,43,Sick,2025-11-15,2025-11-18,Approved
73,45,Casual,2025-06-26,2025-07-04,Rejected
74,45,Unpaid,2025-11-23,2025-11-29,Rejected
75,45,Casual,2025-10-02,2025-10-03,Rejected
76,45,Paid,2025-05-18,2025-05-26,Rejected
77,46,Sick,2025-04-18,2025-04-27,Rejected
78,47,Sick,2026-01-02,2026-01-08,Rejected
79,47,Casual,2025-11-09,2025-11-14,Rejected
80,47,Sick,2025-06-21,2025-06-23,Rejected
81,47,Unpaid,2025-12-18,2025-12-27,Approved
82,48,Paid,2025-09-07,2025-09-16,Approved
83,48,Casual,2025-06-29,2025-07-07,Pending
84,48,Casual,2025-10-16,2025-10-18,Pending
85,49,Sick,2025-06-05,2025-06-14,Approved
86,49,Unpaid,2025-06-15,2025-06-16,Rejected
87,50,Unpaid,2025-04-02,2025-04-08,Pending
88,50,Paid,2025-07-21,2025-07-22,Rejected
89,50,Sick,2025-04-22,2025-05-02,Approved
90,51,Paid,2025-02-23,2025-02-28,Rejected
91,51,Casual,2025-11-17,2025-11-18,Pending
92,51,Casual,2025-11-02,2025-11-12,Pending
93,51,Casual,2025-08-06,2025-08-07,Rejected
94,52,Paid,2025-05-22,2025-05-24,Pending
95,52,Sick,2025-01-21,2025-01-26,Rejected
96,52,Paid,2025-12-18,2025-12-21,Rejected
97,54,Paid,2025-12-10,2025-12-14,Rejected
98,54,Sick,2025-11-10,2025-11-17,Pending
99,55,Casual,2025-07-10,2025-07-19,Approved
100,55,Sick,2025-06-17,2025-06-18,Rejected
101,55,Paid,2025-08-10,2025-08-16,Rejected
102,55,Unpaid,2026-01-02,2026-01-09,Approved
103,57,Unpaid,2025-03-16,2025-03-22,Pending
104,58,Casual,2025-07-07,2025-07-16,Approved
105,58,Casual,2025-08-01,2025-08-03,Approved
106,58,Paid,2025-10-16,2025-10-17,Rejected
107,60,Paid,2025-07-21,2025-07-25,Pending
108,60,Casual,2025-07-16,2025-07-24,Pending
109,62,Casual,2025-05-17,2025-05-18,Rejected
110,62,Casual,2025-05-13,2025-05-16,Approved
111,62,Casual,2025-08-26,2025-09-01,Approved
112,65,Sick,2025-11-01,2025-11-10,Rejected
113,65,Unpaid,2025-02-05,2025-02-13,Rejected
114,66,Paid,2025-02-07,2025-02-13,Rejected
115,66,Sick,2025-09-10,2025-09-14,Rejected
116,66,Unpaid,2025-04-27,2025-05-04,Approved
117,67,Unpaid,2025-05-22,2025-05-28,Approved
118,67,Sick,2025-10-20,2025-10-27,Approved
119,67,Casual,2025-02-13,2025-02-22,Approved
120,68,Casual,2025-07-01,2025-07-09,Rejected
121,69,Casual,2025-07-07,2025-07-10,Approved
122,69,Casual,2025-05-01,2025-05-08,Pending
123,70,Casual,2025-02-27,2025-03-04,Pending
124,71,Sick,2025-10-30,2025-11-01,Rejected
125,71,Paid,2025-03-31,2025-04-10,Rejected
126,71,Paid,2025-05-21,2025-05-24,Pending
127,72,Paid,2025-08-26,2025-09-01,Approved
128,72,Unpaid,2025-05-07,2025-05-09,Rejected
129,73,Paid,2025-12-06,2025-12-11,Rejected
130,74,Paid,2025-12-12,2025-12-17,Approved
131,76,Casual,2025-09-11,2025-09-14,Approved
132,76,Paid,2025-03-16,2025-03-20,Rejected
133,77,Sick,2025-07-16,2025-07-22,Pending
134,77,Unpaid,2025-08-06,2025-08-15,Approved
135,77,Paid,2025-01-28,2025-01-31,Approved
136,78,Paid,2025-10-24,2025-11-01,Approved
137,78,Casual,2025-11-02,2025-11-11,Rejected
138,81,Casual,2025-12-18,2025-12-21,Pending
139,81,Paid,2025-09-23,2025-09-29,Approved
140,81,Sick,2025-11-14,2025-11-23,Pending
141,82,Unpaid,2025-10-21,2025-10-24,Rejected
142,83,Sick,2025-01-28,2025-02-01,Pending
143,83,Paid,2025-11-22,2025-11-23,Approved
144,84,Sick,2025-10-19,2025-10-25,Approved
145,84,Unpaid,2025-09-14,2025-09-16,Approved
146,86,Casual,2025-04-30,2025-05-09,Pending
147,86,Paid,2025-05-05,2025-05-10,Pending
148,86,Sick,2025-10-09,2025-10-10,Pending
149,87,Sick,2025-01-06,2025-01-09,Pending
150,88,Sick,2025-03-10,2025-03-17,Approved
151,88,Sick,2025-08-11,2025-08-21,Pending
152,88,Casual,2025-03-02,2025-03-07,Approved
153,88,Casual,2025-06-24,2025-06-30,Rejected
154,89,Paid,2025-05-09,2025-05-19,Pending
155,89,Casual,2025-08-09,2025-08-12,Pending
156,89,Paid,2025-05-10,2025-05-15,Pending
157,90,Sick,2025-08-23,2025-08-24,Approved
158,90,Paid,2025-08-24,2025-08-28,Rejected
159,90,Unpaid,2025-11-27,2025-12-07,Pending
160,90,Sick,2025-05-17,2025-05-26,Pending
161,91,Paid,2025-03-01,2025-03-08,Approved
162,91,Unpaid,2025-05-15,2025-05-21,Rejected
163,91,Casual,2025-06-19,2025-06-28,Pending
164,91,Sick,2025-09-06,2025-09-09,Rejected
165,92,Casual,2025-09-24,2025-10-04,Approved
166,92,Sick,2025-10-20,2025-10-23,Approved
167,92,Sick,2025-03-26,2025-04-03,Pending
168,93,Unpaid,2025-11-06,2025-11-08,Rejected
169,93,Unpaid,2025-05-01,2025-05-11,Rejected
170,93,Sick,2025-04-21,2025-04-26,Approved
171,93,Sick,2025-10-24,2025-10-30,Pending
172,94,Paid,2025-04-24,2025-04-28,Rejected
173,94,Sick,2025-07-11,2025-07-16,Pending
174,94,Casual,2025-02-05,2025-02-14,Approved
175,94,Sick,2025-02-14,2025-02-19,Approved
176,95,Sick,2025-06-30,2025-07-02,Pending
177,95,Casual,2025-02-25,2025-02-26,Rejected
178,96,Unpaid,2025-01-07,2025-01-12,Pending
179,96,Sick,2025-11-16,2025-11-21,Approved
180,96,Unpaid,2025-03-12,2025-03-20,Rejected
181,96,Paid,2025-10-15,2025-10-24,Pending
182,98,Paid,2025-06-27,2025-07-03,Approved
183,98,Unpaid,2025-09-19,2025-09-27,Pending
184,99,Paid,2025-01-11,2025-01-15,Rejected
185,99,Casual,2025-07-18,2025-07-19,Pending
186,99,Unpaid,2025-03-14,2025-03-17,Rejected
187,100,Casual,2025-05-10,2025-05-20,Rejected
188,100,Unpaid,2025-12-02,2025-12-11,Approved
189,100,Casual,2025-07-31,2025-08-06,Rejected
190,100,Paid,2025-11-12,2025-11-17,Pending
191,103,Sick,2025-06-12,2025-06-18,Rejected
192,103,Unpaid,2025-12-26,2026-01-03,Rejected
193,103,Casual,2025-08-09,2025-08-17,Pending
194,103,Sick,2025-02-08,2025-02-10,Pending
195,104,Sick,2025-03-23,2025-04-01,Rejected
196,104,Unpaid,2025-03-18,2025-03-20,Pending
197,107,Casual,2025-05-10,2025-05-20,Pending
198,107,Sick,2025-09-11,2025-09-15,Rejected
199,107,Paid,2025-04-28,2025-05-07,Approved
200,107,Unpaid,2025-08-29,2025-09-04,Approved
201,109,Paid,2025-10-28,2025-10-29,Pending
202,109,Paid,2025-12-05,2025-12-13,Approved
203,109,Paid,2025-08-18,2025-08-26,Pending
204,109,Unpaid,2025-09-14,2025-09-20,Rejected
205,110,Casual,2025-03-30,2025-04-04,Pending
206,110,Sick,2025-06-08,2025-06-11,Pending
207,110,Unpaid,2025-07-27,2025-08-02,Pending
208,111,Sick,2025-01-04,2025-01-09,Pending
209,111,Casual,2025-09-08,2025-09-16,Rejected
210,112,Unpaid,2025-03-08,2025-03-10,Rejected
211,112,Unpaid,2025-11-11,2025-11-18,Approved
212,112,Unpaid,2025-07-08,2025-07-17,Approved
213,113,Casual,2025-01-07,2025-01-14,Rejected
214,113,Sick,2025-09-10,2025-09-11,Pending
215,114,Casual,2025-03-25,2025-03-26,Approved
216,114,Casual,2025-05-06,2025-05-15,Pending
217,115,Paid,2025-02-24,2025-02-28,Rejected
218,115,Casual,2025-12-26,2025-12-30,Rejected
219,115,Sick,2025-02-12,2025-02-22,Pending
220,115,Sick,2025-04-01,2025-04-10,Approved
221,116,Sick,2025-05-02,2025-05-09,Pending
222,116,Casual,2025-10-05,2025-10-08,Approved
223,116,Paid,2025-10-30,2025-11-04,Approved
224,116,Unpaid,2025-02-21,2025-02-27,Approved
225,117,Paid,2025-06-07,2025-06-11,Approved
226,117,Unpaid,2025-04-25,2025-04-29,Approved
227,118,Casual,2025-10-08,2025-10-17,Approved
228,118,Casual,2025-07-19,2025-07-23,Rejected
229,119,Paid,2025-06-29,2025-07-08,Pending
230,119,Paid,2025-12-30,2026-01-06,Rejected
231,119,Sick,2025-09-17,2025-09-26,Rejected
232,119,Casual,2025-01-12,2025-01-18,Approved
233,120,Casual,2025-09-06,2025-09-15,Approved
234,121,Unpaid,2025-08-15,2025-08-23,Pending
235,121,Paid,2025-03-07,2025-03-13,Rejected
236,122,Unpaid,2025-09-13,2025-09-17,Pending
237,123,Casual,2025-03-10,2025-03-18,Pending
238,126,Casual,2025-07-06,2025-07-12,Pending
239,126,Sick,2025-01-06,2025-01-16,Pending
240,126,Casual,2025-12-27,2026-01-02,Pending
241,126,Unpaid,2025-12-10,2025-12-13,Approved
242,127,Unpaid,2025-01-27,2025-02-02,Approved
243,127,Sick,2025-02-21,2025-02-22,Pending
244,127,Casual,2025-11-28,2025-11-29,Rejected
245,127,Casual,2025-05-12,2025-05-22,Approved
246,129,Paid,2025-02-13,2025-02-19,Approved
247,129,Paid,2025-06-15,2025-06-16,Approved
248,129,Paid,2025-11-18,2025-11-19,Rejected
249,131,Sick,2025-08-23,2025-08-24,Rejected
250,132,Paid,2025-12-01,2025-12-04,Approved
251,132,Casual,2025-06-13,2025-06-19,Rejected
252,132,Casual,2025-08-04,2025-08-14,Rejected
253,133,Casual,2025-06-06,2025-06-09,Approved
254,133,Paid,2025-09-03,2025-09-05,Pending
255,133,Paid,2025-09-16,2025-09-23,Pending
256,134,Casual,2025-01-05,2025-01-13,Approved
257,134,Sick,2025-10-11,2025-10-17,Rejected
258,134,Sick,2025-01-16,2025-01-19,Rejected
259,134,Unpaid,2025-07-26,2025-08-04,Rejected
260,135,Casual,2025-08-13,2025-08-14,Pending
261,136,Paid,2025-05-07,2025-05-17,Rejected
262,136,Paid,2025-02-12,2025-02-16,Rejected
263,136,Unpaid,2025-03-21,2025-03-30,Approved
264,136,Unpaid,2025-06-29,2025-07-08,Pending
265,137,Unpaid,2026-01-01,2026-01-02,Rejected
266,137,Casual,2025-10-30,2025-11-06,Approved
267,137,Casual,2025-04-28,2025-05-06,Approved
268,138,Unpaid,2025-08-19,2025-08-28,Pending
269,138,Casual,2025-03-29,2025-04-05,Pending
270,138,Casual,2025-08-15,2025-08-17,Pending
271,138,Paid,2025-04-14,2025-04-23,Pending
272,139,Casual,2025-03-22,2025-03-25,Approved
273,139,Unpaid,2025-10-06,2025-10-12,Rejected
274,140,Sick,2025-04-26,2025-04-27,Rejected
275,140,Casual,2025-07-11,2025-07-19,Rejected
276,140,Unpaid,2025-05-26,2025-05-31,Pending
277,140,Unpaid,2025-06-01,2025-06-10,Approved
278,142,Unpaid,2025-09-13,2025-09-14,Approved
279,143,Sick,2025-01-29,2025-02-06,Approved
280,143,Unpaid,2025-05-04,2025-05-12,Rejected
281,145,Paid,2025-04-11,2025-04-13,Rejected
282,145,Casual,2025-11-17,2025-11-19,Pending
283,145,Casual,2025-04-09,2025-04-19,Approved
284,145,Unpaid,2025-12-14,2025-12-18,Pending
285,146,Paid,2025-06-20,2025-06-29,Approved
286,146,Sick,2025-10-30,2025-11-06,Approved
287,146,Casual,2025-03-27,2025-03-28,Rejected
288,147,Unpaid,2025-05-18,2025-05-24,Approved
289,148,Sick,2025-06-07,2025-06-13,Rejected
290,148,Sick,2025-09-19,2025-09-21,Approved
291,149,Paid,2025-10-16,2025-10-26,Rejected
292,149,Sick,2025-02-18,2025-02-23,Pending
293,149,Paid,2025-09-28,2025-10-05,Approved
294,150,Paid,2025-12-24,2025-12-31,Pending
295,150,Paid,2025-04-06,2025-04-11,Rejected
296,150,Unpaid,2025-03-31,2025-04-04,Rejected
297,150,Paid,2025-11-15,2025-11-25,Approved
298,152,Unpaid,2025-10-21,2025-10-26,Approved
299,152,Unpaid,2025-01-29,2025-02-08,Pending
300,152,Paid,2025-03-08,2025-03-15,Approved
301,153,Casual,2025-05-23,2025-05-30,Approved
302,153,Casual,2025-07-14,2025-07-18,Rejected
303,154,Paid,2025-03-14,2025-03-17,Approved
304,154,Casual,2025-05-19,2025-05-20,Rejected
305,154,Casual,2025-12-20,2025-12-21,Approved
306,154,Casual,2025-08-21,2025-08-31,Pending
307,155,Paid,2025-01-05,2025-01-10,Approved
308,155,Unpaid,2025-09-01,2025-09-04,Rejected
309,155,Sick,2025-02-25,2025-03-04,Approved
310,155,Sick,2025-12-24,2025-12-25,Pending
311,157,Sick,2025-10-02,2025-10-11,Pending
312,157,Sick,2025-11-19,2025-11-24,Pending
313,157,Paid,2025-03-18,2025-03-19,Pending
314,157,Sick,2025-03-22,2025-03-25,Pending
315,158,Unpaid,2025-12-24,2025-12-29,Pending
316,158,Paid,2025-03-06,2025-03-09,Rejected
317,158,Sick,2025-09-18,2025-09-19,Pending
318,158,Casual,2025-11-25,2025-11-30,Pending
319,159,Unpaid,2025-11-30,2025-12-02,Rejected
320,159,Sick,2025-09-21,2025-09-26,Rejected
321,159,Sick,2025-09-19,2025-09-26,Rejected
322,159,Sick,2025-02-23,2025-03-04,Approved
323,160,Sick,2025-08-01,2025-08-09,Pending
324,160,Casual,2025-12-06,2025-12-10,Rejected
325,161,Paid,2025-11-06,2025-11-14,Rejected
326,161,Paid,2025-12-14,2025-12-23,Rejected
327,161,Sick,2025-01-03,2025-01-05,Pending
328,163,Sick,2025-02-09,2025-02-14,Approved
329,164,Unpaid,2025-12-09,2025-12-18,Pending
330,165,Sick,2025-07-02,2025-07-05,Rejected
331,165,Unpaid,2025-09-07,2025-09-08,Pending
332,165,Unpaid,2025-05-25,2025-06-04,Approved
333,165,Casual,2025-11-27,2025-12-04,Pending
334,167,Casual,2025-07-24,2025-08-02,Approved
335,167,Paid,2025-03-23,2025-04-02,Rejected
336,167,Sick,2025-06-29,2025-07-02,Approved
337,168,Paid,2025-08-28,2025-08-30,Pending
338,168,Casual,2025-02-01,2025-02-02,Approved
339,169,Unpaid,2025-02-19,2025-02-21,Pending
340,169,Sick,2025-02-03,2025-02-05,Rejected
341,169,Sick,2025-04-16,2025-04-18,Pending
342,169,Paid,2025-03-23,2025-04-01,Pending
343,171,Paid,2025-04-10,2025-04-18,Approved
344,172,Casual,2025-05-26,2025-05-29,Rejected
345,173,Sick,2025-12-24,2025-12-26,Pending
346,173,Unpaid,2025-04-25,2025-04-30,Pending
347,173,Paid,2025-03-04,2025-03-10,Rejected
348,174,Paid,2025-02-23,2025-03-05,Approved
349,175,Paid,2025-04-24,2025-04-26,Rejected
350,175,Unpaid,2025-01-11,2025-01-16,Rejected
351,175,Casual,2025-12-03,2025-12-08,Rejected
352,176,Casual,2025-05-03,2025-05-05,Pending
353,176,Paid,2025-01-26,2025-02-05,Approved
354,176,Paid,2025-06-08,2025-06-16,Approved
355,177,Paid,2025-08-04,2025-08-14,Pending
356,177,Paid,2025-02-26,2025-02-27,Rejected
357,177,Paid,2025-02-10,2025-02-13,Approved
358,178,Paid,2025-05-25,2025-06-03,Rejected
359,178,Casual,2025-05-14,2025-05-16,Approved
360,178,Casual,2025-03-17,2025-03-20,Rejected
361,180,Casual,2025-05-24,2025-05-29,Pending
362,180,Sick,2025-10-06,2025-10-07,Rejected
363,180,Sick,2025-08-15,2025-08-23,Rejected
364,180,Unpaid,2025-10-20,2025-10-23,Rejected
365,182,Paid,2025-09-04,2025-09-09,Pending
366,182,Sick,2025-03-20,2025-03-21,Pending
367,182,Casual,2025-01-24,2025-01-28,Pending
368,183,Casual,2025-06-03,2025-06-04,Pending
369,183,Sick,2025-11-30,2025-12-10,Rejected
370,183,Casual,2025-06-16,2025-06-21,Approved
371,184,Unpaid,2025-02-28,2025-03-05,Pending
372,184,Casual,2025-10-07,2025-10-08,Rejected
373,184,Unpaid,2025-12-23,2025-12-24,Approved
374,184,Unpaid,2025-06-01,2025-06-11,Approved
375,185,Casual,2025-08-28,2025-09-05,Pending
376,185,Sick,2025-12-24,2025-12-31,Rejected
377,185,Paid,2025-10-10,2025-10-13,Approved
378,185,Paid,2025-07-27,2025-07-31,Pending
379,186,Unpaid,2025-07-21,2025-07-24,Approved
380,186,Unpaid,2025-07-09,2025-07-17,Pending
381,186,Paid,2025-08-30,2025-08-31,Pending
382,186,Sick,2025-09-29,2025-10-07,Rejected
383,187,Casual,2025-01-30,2025-02-04,Approved
384,187,Unpaid,2025-09-12,2025-09-18,Rejected
385,187,Casual,2025-12-05,2025-12-11,Rejected
386,187,Paid,2025-04-07,2025-04-09,Pending
387,188,Casual,2025-01-15,2025-01-16,Approved
388,188,Casual,2025-07-20,2025-07-23,Pending
389,189,Paid,2025-12-20,2025-12-27,Rejected
390,189,Paid,2025-10-01,2025-10-08,Pending
391,189,Casual,2025-12-12,2025-12-19,Approved
392,190,Sick,2025-01-31,2025-02-01,Approved
393,190,Sick,2025-06-25,2025-06-26,Approved
394,190,Paid,2025-07-13,2025-07-21,Pending
395,191,Casual,2025-04-28,2025-05-02,Approved
396,191,Sick,2025-06-18,2025-06-28,Approved
397,191,Unpaid,2025-04-21,2025-04-23,Rejected
398,191,Unpaid,2025-10-30,2025-11-08,Pending
399,192,Paid,2025-05-30,2025-06-01,Rejected
400,193,Sick,2025-06-05,2025-06-09,Pending
401,193,Sick,2025-03-01,2025-03-10,Approved
402,193,Casual,2025-08-25,2025-08-30,Pending
403,193,Sick,2025-02-10,2025-02-18,Approved
404,196,Paid,2025-02-16,2025-02-17,Approved
405,197,Casual,2025-06-06,2025-06-16,Rejected
406,197,Unpaid,2025-07-28,2025-08-02,Rejected
407,197,Paid,2025-08-30,2025-09-09,Pending
408,198,Casual,2025-01-23,2025-01-28,Pending
409,198,Sick,2025-03-06,2025-03-08,Approved
410,198,Unpaid,2025-02-10,2025-02-11,Pending
411,198,Unpaid,2025-09-12,2025-09-13,Pending
412,199,Sick,2025-08-19,2025-08-20,Rejected
413,199,Sick,2025-10-21,2025-10-31,Approved
414,199,Paid,2025-01-04,2025-01-07,Rejected
415,199,Sick,2025-12-03,2025-12-08,Pending
416,201,Sick,2025-07-15,2025-07-21,Approved
417,201,Unpaid,2025-04-07,2025-04-17,Rejected
418,201,Casual,2025-05-21,2025-05-23,Rejected
419,202,Unpaid,2025-05-18,2025-05-28,Rejected
420,203,Casual,2025-12-21,2025-12-30,Rejected
421,203,Casual,2025-09-24,2025-09-30,Pending
422,203,Casual,2025-08-10,2025-08-16,Pending
423,203,Unpaid,2025-08-03,2025-08-08,Rejected
424,204,Paid,2025-10-14,2025-10-22,Pending
425,204,Unpaid,2025-12-05,2025-12-08,Rejected
426,204,Casual,2025-12-17,2025-12-26,Pending
427,204,Sick,2025-04-04,2025-04-09,Pending
428,205,Sick,2025-09-30,2025-10-08,Approved
429,206,Unpaid,2025-05-13,2025-05-22,Approved
430,206,Sick,2025-06-20,2025-06-28,Rejected
431,206,Casual,2025-01-05,2025-01-12,Approved
432,207,Unpaid,2025-08-29,2025-09-08,Rejected
433,207,Paid,2025-07-18,2025-07-28,Approved
434,208,Paid,2025-06-08,2025-06-11,Rejected
435,208,Unpaid,2025-11-25,2025-11-30,Approved
436,208,Casual,2025-02-12,2025-02-17,Rejected
437,209,Unpaid,2025-10-11,2025-10-16,Approved
438,210,Casual,2025-02-01,2025-02-03,Rejected
439,210,Sick,2025-09-19,2025-09-21,Rejected
440,210,Unpaid,2025-04-28,2025-05-03,Pending
441,210,Paid,2025-04-23,2025-04-27,Rejected
442,211,Sick,2025-07-02,2025-07-09,Pending
443,211,Sick,2025-05-07,2025-05-09,Rejected
444,212,Paid,2025-03-12,2025-03-13,Pending
445,213,Casual,2025-02-18,2025-02-19,Pending
446,213,Sick,2025-02-05,2025-02-15,Rejected
447,214,Sick,2025-04-27,2025-05-03,Approved
448,214,Paid,2025-06-02,2025-06-07,Rejected
449,214,Sick,2025-03-22,2025-03-29,Approved
450,214,Sick,2025-05-05,2025-05-09,Approved
451,215,Unpaid,2025-01-13,2025-01-17,Approved
452,215,Paid,2025-01-24,2025-01-29,Pending
453,215,Sick,2025-03-11,2025-03-21,Approved
454,215,Sick,2025-08-27,2025-09-01,Approved
455,216,Paid,2025-04-12,2025-04-17,Approved
456,216,Unpaid,2025-08-10,2025-08-13,Rejected
457,216,Unpaid,2026-01-02,2026-01-11,Pending
458,216,Sick,2025-08-25,2025-08-30,Pending
459,217,Casual,2025-04-18,2025-04-24,Pending
460,217,Casual,2025-08-26,2025-09-02,Pending
461,217,Casual,2025-01-25,2025-01-27,Pending
462,218,Paid,2025-05-29,2025-06-03,Approved
463,218,Unpaid,2025-04-18,2025-04-22,Pending
464,218,Unpaid,2025-12-01,2025-12-06,Rejected
465,220,Paid,2025-03-26,2025-04-01,Rejected
466,221,Unpaid,2025-01-23,2025-01-26,Rejected
467,221,Casual,2025-07-21,2025-07-25,Pending
468,222,Casual,2025-05-02,2025-05-08,Pending
469,223,Sick,2025-11-26,2025-11-27,Approved
470,223,Unpaid,2025-10-25,2025-11-03,Approved
471,223,Casual,2025-04-12,2025-04-14,Pending
472,223,Casual,2025-01-15,2025-01-21,Approved
473,224,Unpaid,2025-08-25,2025-09-04,Pending
474,224,Casual,2025-08-11,2025-08-14,Rejected
475,224,Casual,2025-09-06,2025-09-14,Rejected
476,225,Unpaid,2025-11-03,2025-11-08,Pending
477,227,Unpaid,2025-11-19,2025-11-26,Pending
478,227,Sick,2025-02-09,2025-02-12,Pending
479,228,Paid,2025-09-12,2025-09-19,Approved
480,228,Paid,2025-10-05,2025-10-11,Pending
481,228,Paid,2025-04-07,2025-04-11,Rejected
482,228,Paid,2025-07-04,2025-07-10,Pending
483,230,Sick,2025-07-15,2025-07-22,Approved
484,231,Paid,2025-03-12,2025-03-19,Rejected
485,231,Paid,2025-05-19,2025-05-29,Approved
486,231,Unpaid,2025-05-24,2025-06-03,Pending
487,231,Casual,2025-03-13,2025-03-19,Approved
488,232,Casual,2025-12-29,2025-12-31,Pending
489,233,Paid,2025-10-10,2025-10-18,Approved
490,233,Unpaid,2025-05-21,2025-05-30,Pending
491,233,Unpaid,2025-02-12,2025-02-20,Approved
492,233,Paid,2025-04-20,2025-04-26,Pending
493,234,Casual,2025-04-28,2025-05-05,Approved
494,234,Unpaid,2025-04-17,2025-04-26,Pending
495,234,Unpaid,2025-07-23,2025-07-31,Pending
496,234,Unpaid,2025-09-13,2025-09-17,Pending
497,235,Casual,2025-04-11,2025-04-21,Approved
498,235,Sick,2025-09-15,2025-09-17,Rejected
499,236,Unpaid,2025-03-21,2025-03-23,Approved
500,236,Paid,2025-03-25,2025-03-28,Approved
501,237,Sick,2025-03-30,2025-04-04,Approved
502,238,Unpaid,2025-01-03,2025-01-07,Rejected
503,238,Sick,2025-05-16,2025-05-20,Rejected
504,238,Sick,2025-01-05,2025-01-09,Rejected
505,238,Casual,2025-12-18,2025-12-26,Pending
506,239,Paid,2025-05-28,2025-06-02,Approved
507,239,Casual,2025-02-06,2025-02-11,Approved
508,239,Paid,2025-02-08,2025-02-14,Approved
509,240,Sick,2025-09-01,2025-09-07,Rejected
510,240,Casual,2025-02-15,2025-02-16,Rejected
511,240,Paid,2025-11-30,2025-12-06,Approved
512,240,Unpaid,2025-10-18,2025-10-19,Rejected
513,241,Unpaid,2025-11-15,2025-11-20,Pending
514,241,Casual,2025-02-12,2025-02-21,Approved
515,242,Paid,2025-01-04,2025-01-05,Pending
516,243,Casual,2025-07-12,2025-07-18,Rejected
517,243,Unpaid,2025-02-08,2025-02-10,Approved
518,245,Unpaid,2025-12-09,2025-12-17,Rejected
519,245,Sick,2025-08-10,2025-08-16,Approved
520,245,Casual,2025-03-06,2025-03-15,Approved
