attendance_id,empID,date,status
120,120,2024-12-01,Half Day
121,121,2024-12-01,Present
122,122,2024-12-01,Present
123,123,2024-12-01,Present
124,124,2024-12-01,Present
125,125,2024-12-01,Leave
126,126,2024-12-01,Leave
127,127,2024-12-01,Half Day
128,128,2024-12-01,Present
129,129,2024-12-01,Present
130,130,2024-12-01,Present
131,131,2024-12-01,Absent
132,132,2024-12-01,Present
133,133,2024-12-01,Leave
134,134,2024-12-01,Leave
135,135,2024-12-01,Present
136,136,2024-12-01,Present
137,137,2024-12-01,Present
138,138,2024-12-01,Present
139,139,2024-12-01,Leave
140,140,2024-12-01,Present
141,141,2024-12-01,Absent
142,142,2024-12-01,Present
143,143,2024-12-01,Present
144,144,2024-12-01,Present
145,145,2024-12-01,Leave
146,146,2024-12-01,Half Day
147,147,2024-12-01,Absent
148,148,2024-12-01,Half Day
149,149,2024-12-01,Leave
150,150,2024-12-01,Present
151,151,2024-12-01,Absent
152,152,2024-12-01,Leave
153,153,2024-12-01,Half Day
154,154,2024-12-01,Present
155,155,2024-12-01,Absent
156,156,2024-12-01,Leave
157,157,2024-12-01,Absent
158,158,2024-12-01,Leave
159,159,2024-12-01,Half Day
160,160,2024-12-01,Present
161,161,2024-12-01,Present
162,162,2024-12-01,Present
163,163,2024-12-01,Leave
164,164,2024-12-01,Leave
165,165,2024-12-01,Half Day
166,166,2024-12-01,Leave
167,167,2024-12-01,Absent
168,168,2024-12-01,Present
169,169,2024-12-01,Present
170,170,2024-12-01,Half Day
171,171,2024-12-01,Leave
172,172,2024-12-01,Present
173,173,2024-12-01,Leave
174,174,2024-12-01,Present
175,175,2024-12-01,Present
176,176,2024-12-01,Present
177,177,2024-12-01,Leave
178,178,2024-12-01,Present
179,179,2024-12-01,Present
180,180,2024-12-01,Present
181,181,2024-12-01,Present
182,182,2024-12-01,Half Day
183,183,2024-12-01,Leave
184,184,2024-12-01,Present
185,185,2024-12-01,Half Day
186,186,2024-12-01,Present
187,187,2024-12-01,Present
188,188,2024-12-01,Leave
189,189,2024-12-01,Half Day
190,190,2024-12-01,Absent
191,191,2024-12-01,Present
192,192,2024-12-01,Present
193,193,2024-12-01,Half Day
194,194,2024-12-01,Leave
195,195,2024-12-01,Half Day
196,196,2024-12-01,Leave
197,197,2024-12-01,Present
198,198,2024-12-01,Leave
199,199,2024-12-01,Present
200,200,2024-12-01,Present
201,201,2024-12-01,Leave
202,202,2024-12-01,Half Day
203,203,2024-12-01,Present
204,204,2024-12-01,Present
205,205,2024-12-01,Half Day
206,206,2024-12-01,Present
207,207,2024-12-01,Present
208,208,2024-12-01,Present
209,209,2024-12-01,Absent
210,210,2024-12-01,Present
211,211,2024-12-01,Present
212,212,2024-12-01,Present
213,213,2024-12-01,Present
214,214,2024-12-01,Present
215,215,2024-12-01,Leave
216,216,2024-12-01,Leave
217,217,2024-12-01,Present
218,218,2024-12-01,Absent
219,219,2024-12-01,Present
220,220,2024-12-01,Half Day
221,221,2024-12-01,Leave
222,222,2024-12-01,Leave
223,223,2024-12-01,Present
224,224,2024-12-01,Leave
225,225,2024-12-01,Present
226,226,2024-12-01,Leave
227,227,2024-12-01,Leave
228,228,2024-12-01,Half Day
229,229,2024-12-01,Leave
230,230,2024-12-01,Present
231,231,2024-12-01,Present
232,232,2024-12-01,Present
233,233,2024-12-01,Present
234,234,2024-12-01,Absent
235,235,2024-12-01,Present
236,236,2024-12-01,Half Day
237,237,2024-12-01,Half Day
238,238,2024-12-01,Half Day
239,239,2024-12-01,Leave
240,240,2024-12-01,Present
241,241,2024-12-01,Half Day
242,242,2024-12-01,Leave
243,243,2024-12-01,Present
244,244,2024-12-01,Half Day
245,245,2024-12-01,Half Day
246,246,2024-12-01,Present
247,247,2024-12-01,Leave
248,248,2024-12-01,Present
249,249,2024-12-01,Present
250,250,2024-12-01,Half Day
251,251,2024-12-01,Present
252,252,2024-12-01,Present
253,253,2024-12-01,Leave
254,254,2024-12-01,Absent
255,255,2024-12-01,Half Day
256,256,2024-12-01,Leave
257,257,2024-12-01,Present
258,258,2024-12-01,Present
259,259,2024-12-01,Present
260,260,2024-12-01,Present
261,261,2024-12-01,Absent
262,262,2024-12-01,Present
263,263,2024-12-01,Absent
264,264,2024-12-01,Half Day
265,265,2024-12-01,Present
266,266,2024-12-01,Leave
267,267,2024-12-01,Present
268,268,2024-12-01,Absent
269,269,2024-12-01,Half Day
270,270,2024-12-01,Leave
271,271,2024-12-01,Half Day
272,272,2024-12-01,Leave
273,273,2024-12-01,Half Day
274,274,2024-12-01,Leave
275,275,2024-12-01,Present
276,276,2024-12-01,Present
277,277,2024-12-01,Present
278,278,2024-12-01,Present
279,279,2024-12-01,Leave
280,280,2024-12-01,Half Day
281,281,2024-12-01,Leave
282,282,2024-12-01,Present
283,283,2024-12-01,Present
284,284,2024-12-01,Present
285,285,2024-12-01,Present
286,286,2024-12-01,Leave
287,287,2024-12-01,Leave
288,288,2024-12-01,Leave
289,289,2024-12-01,Half Day
290,290,2024-12-01,Present
291,291,2024-12-01,Leave
292,292,2024-12-01,Present
293,293,2024-12-01,Half Day
294,294,2024-12-01,Present
295,295,2024-12-01,Leave
296,296,2024-12-01,Leave
297,297,2024-12-01,Present
298,298,2024-12-01,Half Day
299,299,2024-12-01,Leave
300,300,2024-12-01,Present
301,301,2024-12-01,Leave
302,302,2024-12-01,Leave
303,303,2024-12-01,Present
304,304,2024-12-01,Half Day
305,305,2024-12-01,Present
306,306,2024-12-01,Leave
307,307,2024-12-01,Present
308,308,2024-12-01,Leave
309,309,2024-12-01,Leave
310,310,2024-12-01,Present
311,311,2024-12-01,Leave
312,312,2024-12-01,Half Day
313,313,2024-12-01,Leave
314,314,2024-12-01,Leave
315,315,2024-12-01,Present
316,316,2024-12-01,Leave
317,317,2024-12-01,Half Day
318,318,2024-12-01,Leave
319,319,2024-12-01,Half Day
320,320,2024-12-01,Half Day
321,321,2024-12-01,Half Day
322,322,2024-12-01,Present
323,323,2024-12-01,Present
324,324,2024-12-01,Present
325,325,2024-12-01,Leave
326,326,2024-12-01,Leave
327,327,2024-12-01,Leave
328,328,2024-12-01,Leave
329,329,2024-12-01,Present
330,330,2024-12-01,Absent
331,331,2024-12-01,Leave
332,332,2024-12-01,Absent
333,333,2024-12-01,Half Day
334,334,2024-12-01,Present
335,335,2024-12-01,Leave
336,336,2024-12-01,Present
337,337,2024-12-01,Half Day
338,338,2024-12-01,Half Day
339,339,2024-12-01,Present
340,340,2024-12-01,Leave
341,341,2024-12-01,Present
342,342,2024-12-01,Absent
343,343,2024-12-01,Present
344,344,2024-12-01,Leave
345,345,2024-12-01,Half Day
346,346,2024-12-01,Half Day
347,347,2024-12-01,Leave
348,348,2024-12-01,Half Day
349,349,2024-12-01,Half Day
350,350,2024-12-01,Half Day
351,351,2024-12-01,Half Day
352,352,2024-12-01,Present
353,353,2024-12-01,Present
354,354,2024-12-01,Half Day
355,355,2024-12-01,Present
356,356,2024-12-01,Half Day
357,357,2024-12-01,Leave
358,358,2024-12-01,Present
359,359,2024-12-01,Present
360,360,2024-12-01,Present
361,361,2024-12-01,Absent
362,362,2024-12-01,Half Day
363,363,2024-12-01,Leave
364,364,2024-12-01,Half Day
365,365,2024-12-01,Present
366,366,2024-12-01,Half Day
367,367,2024-12-01,Present
368,368,2024-12-01,Leave
369,369,2024-12-01,Half Day
370,370,2024-12-01,Leave
371,371,2024-12-01,Leave
372,372,2024-12-01,Half Day
373,373,2024-12-01,Leave
374,374,2024-12-01,Half Day
375,375,2024-12-01,Half Day
376,376,2024-12-01,Present
377,377,2024-12-01,Present
378,378,2024-12-01,Leave
379,379,2024-12-01,Present
380,380,2024-12-01,Leave
381,381,2024-12-01,Present
382,382,2024-12-01,Half Day
383,383,2024-12-01,Present
384,384,2024-12-01,Present
385,385,2024-12-01,Absent
386,386,2024-12-01,Half Day
387,387,2024-12-01,Present
388,388,2024-12-01,Leave
389,389,2024-12-01,Present
390,390,2024-12-01,Present
391,391,2024-12-01,Leave
392,392,2024-12-01,Leave
393,393,2024-12-01,Present
394,394,2024-12-01,Absent
395,395,2024-12-01,Present
396,396,2024-12-01,Half Day
397,397,2024-12-01,Leave
398,398,2024-12-01,Leave
399,399,2024-12-01,Present
400,400,2024-12-01,Half Day
401,401,2024-12-01,Half Day
402,402,2024-12-01,Present
403,403,2024-12-01,Present
404,404,2024-12-01,Half Day
405,405,2024-12-01,Present
406,406,2024-12-01,Absent
407,407,2024-12-01,Present
408,408,2024-12-01,Leave
409,409,2024-12-01,Half Day
410,410,2024-12-01,Leave
411,411,2024-12-01,Absent
412,412,2024-12-01,Present
413,413,2024-12-01,Present
414,414,2024-12-01,Present
415,415,2024-12-01,Present
416,416,2024-12-01,Present
417,417,2024-12-01,Absent
418,418,2024-12-01,Half Day
419,419,2024-12-01,Half Day
420,420,2024-12-01,Half Day
421,421,2024-12-01,Present
422,422,2024-12-01,Present
423,423,2024-12-01,Present
424,424,2024-12-01,Leave
425,425,2024-12-01,Leave
426,426,2024-12-01,Half Day
427,427,2024-12-01,Half Day
428,428,2024-12-01,Present
429,429,2024-12-01,Half Day
430,430,2024-12-01,Leave
431,431,2024-12-01,Present
432,432,2024-12-01,Half Day
433,433,2024-12-01,Present
434,434,2024-12-01,Absent
435,435,2024-12-01,Present
436,436,2024-12-01,Leave
437,437,2024-12-01,Present
438,438,2024-12-01,Absent
439,439,2024-12-01,Present
440,440,2024-12-01,Present
441,441,2024-12-01,Present
442,442,2024-12-01,Present
443,443,2024-12-01,Leave
444,444,2024-12-01,Present
445,445,2024-12-01,Half Day
446,446,2024-12-01,Present
447,447,2024-12-01,Present
448,448,2024-12-01,Present
449,449,2024-12-01,Present
450,450,2024-12-01,Present
451,451,2024-12-01,Leave
452,452,2024-12-01,Half Day
453,453,2024-12-01,Present
454,454,2024-12-01,Half Day
455,455,2024-12-01,Present
456,456,2024-12-01,Leave
457,457,2024-12-01,Present
458,458,2024-12-01,Leave
459,459,2024-12-01,Half Day
460,460,2024-12-01,Half Day
461,461,2024-12-01,Leave
462,462,2024-12-01,Present
463,463,2024-12-01,Absent
464,464,2024-12-01,Leave
465,465,2024-12-01,Present
466,466,2024-12-01,Half Day
467,467,2024-12-01,Present
468,468,2024-12-01,Leave
469,469,2024-12-01,Present
470,470,2024-12-01,Present
471,471,2024-12-01,Half Day
472,472,2024-12-01,Present
473,473,2024-12-01,Leave
474,474,2024-12-01,Half Day
475,475,2024-12-01,Present
476,476,2024-12-01,Absent
477,477,2024-12-01,Present
478,478,2024-12-01,Half Day
479,479,2024-12-01,Present
480,480,2024-12-01,Half Day
481,481,2024-12-01,Half Day
482,482,2024-12-01,Absent
483,483,2024-12-01,Present
484,484,2024-12-01,Half Day
485,485,2024-12-01,Leave
486,486,2024-12-01,Present
487,487,2024-12-01,Leave
488,488,2024-12-01,Present
489,489,2024-12-01,Present
490,490,2024-12-01,Leave
491,491,2024-12-01,Present
492,492,2024-12-01,Half Day
493,493,2024-12-01,Present
494,494,2024-12-01,Half Day
495,495,2024-12-01,Leave
496,496,2024-12-01,Present
497,497,2024-12-01,Absent
498,498,2024-12-01,Half Day
499,499,2024-12-01,Present
500,500,2024-12-01,Half Day
501,501,2024-12-01,Half Day
502,502,2024-12-01,Leave
503,503,2024-12-01,Leave
504,504,2024-12-01,Absent
505,505,2024-12-01,Leave
506,506,2024-12-01,Present
507,507,2024-12-01,Leave
508,508,2024-12-01,Present
509,509,2024-12-01,Half Day
510,510,2024-12-01,Leave
511,511,2024-12-01,Present
512,512,2024-12-01,Half Day
513,513,2024-12-01,Half Day
514,514,2024-12-01,Present
515,515,2024-12-01,Present
516,516,2024-12-01,Leave
517,517,2024-12-01,Leave
518,518,2024-12-01,Present
519,519,2024-12-01,Present
520,520,2024-12-01,Half Day
521,521,2024-12-01,Present
522,522,2024-12-01,Leave
523,523,2024-12-01,Present
524,524,2024-12-01,Absent
525,525,2024-12-01,Present
526,526,2024-12-01,Leave
527,527,2024-12-01,Present
528,528,2024-12-01,Leave
529,529,2024-12-01,Half Day
530,530,2024-12-01,Half Day
531,531,2024-12-01,Present
532,532,2024-12-01,Leave
533,533,2024-12-01,Half Day
534,534,2024-12-01,Leave
535,535,2024-12-01,Half Day
536,536,2024-12-01,Leave
537,537,2024-12-01,Leave
538,538,2024-12-01,Present
539,539,2024-12-01,Half Day
540,540,2024-12-01,Half Day
541,541,2024-12-01,Absent
542,542,2024-12-01,Half Day
543,543,2024-12-01,Present
544,544,2024-12-01,Half Day
545,545,2024-12-01,Leave
546,546,2024-12-01,Half Day
547,547,2024-12-01,Present
548,548,2024-12-01,Absent
549,549,2024-12-01,Leave
550,550,2024-12-01,Half Day
551,551,2024-12-01,Leave
552,552,2024-12-01,Leave
553,553,2024-12-01,Present
554,554,2024-12-01,Present
555,555,2024-12-01,Present
556,556,2024-12-01,Leave
557,557,2024-12-01,Present
558,558,2024-12-01,Half Day
559,559,2024-12-01,Present
560,560,2024-12-01,Present
561,561,2024-12-01,Present
562,562,2024-12-01,Present
563,563,2024-12-01,Present
564,564,2024-12-01,Present
565,565,2024-12-01,Half Day
566,566,2024-12-01,Leave
567,567,2024-12-01,Leave
568,568,2024-12-01,Leave
569,569,2024-12-01,Half Day
570,570,2024-12-01,Leave
571,571,2024-12-01,Present
572,572,2024-12-01,Half Day
573,573,2024-12-01,Half Day
574,574,2024-12-01,Present
575,575,2024-12-01,Present
576,576,2024-12-01,Present
577,577,2024-12-01,Present
578,578,2024-12-01,Half Day
579,579,2024-12-01,Leave
580,580,2024-12-01,Half Day
581,581,2024-12-01,Leave
582,582,2024-12-01,Leave
583,583,2024-12-01,Present
584,584,2024-12-01,Half Day
585,585,2024-12-01,Present
586,586,2024-12-01,Present
587,587,2024-12-01,Present
588,588,2024-12-01,Present
589,589,2024-12-01,Half Day
590,590,2024-12-01,Present
591,591,2024-12-01,Leave
592,592,2024-12-01,Leave
593,593,2024-12-01,Half Day
594,594,2024-12-01,Leave
595,595,2024-12-01,Present
596,596,2024-12-01,Half Day
597,597,2024-12-01,Present
598,598,2024-12-01,Present
599,599,2024-12-01,Present
600,600,2024-12-01,Present
601,601,2024-12-01,Half Day
602,602,2024-12-01,Leave
603,603,2024-12-01,Present
604,604,2024-12-01,Present
605,605,2024-12-01,Half Day
606,606,2024-12-01,Half Day
607,607,2024-12-01,Leave
608,608,2024-12-01,Present
609,609,2024-12-01,Absent
610,610,2024-12-01,Absent
611,611,2024-12-01,Half Day
612,612,2024-12-01,Present
613,613,2024-12-01,Leave
614,614,2024-12-01,Present
615,615,2024-12-01,Leave
616,616,2024-12-01,Present
617,617,2024-12-01,Half Day
618,618,2024-12-01,Present
619,619,2024-12-01,Present
620,620,2024-12-01,Leave
621,621,2024-12-01,Leave
622,622,2024-12-01,Present
623,623,2024-12-01,Present
624,624,2024-12-01,Leave
625,625,2024-12-01,Present
626,626,2024-12-01,Present
627,627,2024-12-01,Present
628,628,2024-12-01,Present
629,629,2024-12-01,Present
630,630,2024-12-01,Half Day
631,631,2024-12-01,Half Day
632,632,2024-12-01,Present
633,633,2024-12-01,Half Day
634,634,2024-12-01,Half Day
635,635,2024-12-01,Present
636,636,2024-12-01,Leave
637,637,2024-12-01,Half Day
638,638,2024-12-01,Present
639,639,2024-12-01,Half Day
640,640,2024-12-01,Leave
641,641,2024-12-01,Present
642,642,2024-12-01,Leave
643,643,2024-12-01,Present
644,644,2024-12-01,Present
645,645,2024-12-01,Present
646,646,2024-12-01,Present
647,647,2024-12-01,Present
648,648,2024-12-01,Present
649,649,2024-12-01,Leave
650,650,2024-12-01,Present
651,651,2024-12-01,Present
652,652,2024-12-01,Leave
653,653,2024-12-01,Present
654,654,2024-12-01,Present
655,655,2024-12-01,Half Day
656,656,2024-12-01,Half Day
657,657,2024-12-01,Leave
658,658,2024-12-01,Present
659,659,2024-12-01,Present
660,660,2024-12-01,Present
661,661,2024-12-01,Present
662,662,2024-12-01,Leave
663,663,2024-12-01,Absent
664,664,2024-12-01,Absent
665,665,2024-12-01,Present
666,666,2024-12-01,Leave
667,667,2024-12-01,Half Day
668,668,2024-12-01,Absent
669,669,2024-12-01,Leave
670,670,2024-12-01,Present
671,671,2024-12-01,Leave
672,672,2024-12-01,Leave
673,673,2024-12-01,Half Day
674,674,2024-12-01,Half Day
675,675,2024-12-01,Leave
676,676,2024-12-01,Present
677,677,2024-12-01,Half Day
678,678,2024-12-01,Absent
679,679,2024-12-01,Present
680,680,2024-12-01,Leave
681,681,2024-12-01,Present
682,682,2024-12-01,Half Day
683,683,2024-12-01,Leave
684,684,2024-12-01,Half Day
685,685,2024-12-01,Leave
686,686,2024-12-01,Present
687,687,2024-12-01,Leave
688,688,2024-12-01,Leave
689,689,2024-12-01,Present
690,690,2024-12-01,Half Day
691,691,2024-12-01,Present
692,692,2024-12-01,Present
693,693,2024-12-01,Leave
694,694,2024-12-01,Half Day
695,695,2024-12-01,Present
696,696,2024-12-01,Leave
697,697,2024-12-01,Half Day
698,698,2024-12-01,Present
699,699,2024-12-01,Leave
700,700,2024-12-01,Present
701,701,2024-12-01,Half Day
702,702,2024-12-01,Half Day
703,703,2024-12-01,Leave
704,704,2024-12-01,Absent
705,705,2024-12-01,Half Day
706,706,2024-12-01,Absent
707,707,2024-12-01,Present
708,708,2024-12-01,Leave
709,709,2024-12-01,Present
710,710,2024-12-01,Half Day
711,711,2024-12-01,Present
712,712,2024-12-01,Present
713,713,2024-12-01,Present
714,714,2024-12-01,Half Day
715,715,2024-12-01,Present
716,716,2024-12-01,Half Day
717,717,2024-12-01,Present
718,718,2024-12-01,Leave
719,719,2024-12-01,Leave
720,720,2024-12-01,Leave
721,721,2024-12-01,Absent
722,722,2024-12-01,Present
723,723,2024-12-01,Leave
724,724,2024-12-01,Absent
725,725,2024-12-01,Half Day
726,726,2024-12-01,Present
727,727,2024-12-01,Present
728,728,2024-12-01,Leave
729,729,2024-12-01,Half Day
730,730,2024-12-01,Present
731,731,2024-12-01,Present
732,732,2024-12-01,Present
733,733,2024-12-01,Leave
734,734,2024-12-01,Present
735,735,2024-12-01,Half Day
736,736,2024-12-01,Present
737,737,2024-12-01,Present
738,738,2024-12-01,Present
739,739,2024-12-01,Present
740,740,2024-12-01,Present
741,741,2024-12-01,Present
742,742,2024-12-01,Leave
743,743,2024-12-01,Half Day
744,744,2024-12-01,Present
745,745,2024-12-01,Present
746,746,2024-12-01,Half Day
747,747,2024-12-01,Leave
748,748,2024-12-01,Leave
749,749,2024-12-01,Half Day
750,750,2024-12-01,Present
751,751,2024-12-01,Present
752,752,2024-12-01,Present
753,753,2024-12-01,Half Day
754,754,2024-12-01,Present
755,755,2024-12-01,Leave
756,756,2024-12-01,Leave
757,757,2024-12-01,Present
758,758,2024-12-01,Present
759,759,2024-12-01,Present
760,760,2024-12-01,Half Day
761,761,2024-12-01,Absent
762,762,2024-12-01,Present
763,763,2024-12-01,Present
764,764,2024-12-01,Leave
765,765,2024-12-01,Half Day
766,766,2024-12-01,Present
767,767,2024-12-01,Present
768,768,2024-12-01,Half Day
769,769,2024-12-01,Half Day
770,770,2024-12-01,Half Day
771,771,2024-12-01,Leave
772,772,2024-12-01,Present
773,773,2024-12-01,Present
774,774,2024-12-01,Present
775,775,2024-12-01,Leave
776,776,2024-12-01,Half Day
777,777,2024-12-01,Half Day
778,778,2024-12-01,Absent
779,779,2024-12-01,Present
780,780,2024-12-01,Leave
781,781,2024-12-01,Present
782,782,2024-12-01,Half Day
783,783,2024-12-01,Half Day
784,784,2024-12-01,Present
785,785,2024-12-01,Present
786,786,2024-12-01,Half Day
787,787,2024-12-01,Present
788,788,2024-12-01,Present
789,789,2024-12-01,Leave
790,790,2024-12-01,Half Day
791,791,2024-12-01,Absent
792,792,2024-12-01,Present
793,793,2024-12-01,Absent
794,794,2024-12-01,Present
795,795,2024-12-01,Half Day
796,796,2024-12-01,Leave
797,797,2024-12-01,Present
798,798,2024-12-01,Leave
799,799,2024-12-01,Present
800,800,2024-12-01,Leave
801,801,2024-12-01,Absent
802,802,2024-12-01,Half Day
803,803,2024-12-01,Present
804,804,2024-12-01,Half Day
805,805,2024-12-01,Present
806,806,2024-12-01,Leave
807,807,2024-12-01,Present
808,808,2024-12-01,Present
809,809,2024-12-01,Absent
810,810,2024-12-01,Present
811,811,2024-12-01,Half Day
812,812,2024-12-01,Leave
813,813,2024-12-01,Present
814,814,2024-12-01,Half Day
815,815,2024-12-01,Leave
816,816,2024-12-01,Present
817,817,2024-12-01,Present
818,818,2024-12-01,Present
819,819,2024-12-01,Leave
820,820,2024-12-01,Leave
821,821,2024-12-01,Half Day
822,822,2024-12-01,Half Day
823,823,2024-12-01,Present
824,824,2024-12-01,Leave
825,825,2024-12-01,Leave
826,826,2024-12-01,Leave
827,827,2024-12-01,Absent
828,828,2024-12-01,Absent
829,829,2024-12-01,Half Day
830,830,2024-12-01,Present
831,831,2024-12-01,Leave
832,832,2024-12-01,Present
833,833,2024-12-01,Leave
834,834,2024-12-01,Leave
835,835,2024-12-01,Leave
836,836,2024-12-01,Present
837,837,2024-12-01,Leave
838,838,2024-12-01,Leave
839,839,2024-12-01,Present
840,840,2024-12-01,Leave
841,841,2024-12-01,Present
842,842,2024-12-01,Half Day
843,843,2024-12-01,Leave
844,844,2024-12-01,Absent
845,845,2024-12-01,Absent
846,846,2024-12-01,Half Day
847,847,2024-12-01,Leave
848,848,2024-12-01,Leave
849,849,2024-12-01,Present
850,850,2024-12-01,Half Day
851,851,2024-12-01,Absent
852,852,2024-12-01,Present
853,853,2024-12-01,Present
854,854,2024-12-01,Present
855,855,2024-12-01,Leave
856,856,2024-12-01,Half Day
857,857,2024-12-01,Half Day
858,858,2024-12-01,Leave
859,859,2024-12-01,Half Day
860,860,2024-12-01,Present
861,861,2024-12-01,Present
862,862,2024-12-01,Half Day
863,863,2024-12-01,Present
864,864,2024-12-01,Present
865,865,2024-12-01,Present
866,866,2024-12-01,Present
867,867,2024-12-01,Present
868,868,2024-12-01,Present
869,869,2024-12-01,Present
870,870,2024-12-01,Present
871,871,2024-12-01,Present
872,872,2024-12-01,Absent
873,873,2024-12-01,Leave
874,874,2024-12-01,Half Day
875,875,2024-12-01,Half Day
876,876,2024-12-01,Leave
877,877,2024-12-01,Half Day
878,878,2024-12-01,Present
879,879,2024-12-01,Present
880,880,2024-12-01,Present
881,881,2024-12-01,Leave
882,882,2024-12-01,Leave
883,883,2024-12-01,Absent
884,884,2024-12-01,Present
885,885,2024-12-01,Present
886,886,2024-12-01,Half Day
887,887,2024-12-01,Present
888,888,2024-12-01,Half Day
889,889,2024-12-01,Present
890,890,2024-12-01,Absent
891,891,2024-12-01,Present
892,892,2024-12-01,Present
893,893,2024-12-01,Leave
894,894,2024-12-01,Half Day
895,895,2024-12-01,Leave
896,896,2024-12-01,Half Day
897,897,2024-12-01,Half Day
898,898,2024-12-01,Present
899,899,2024-12-01,Half Day
900,900,2024-12-01,Present
901,901,2024-12-01,Half Day
902,902,2024-12-01,Half Day
903,903,2024-12-01,Present
904,904,2024-12-01,Leave
905,905,2024-12-01,Leave
906,906,2024-12-01,Half Day
907,907,2024-12-01,Present
908,908,2024-12-01,Absent
909,909,2024-12-01,Leave
910,910,2024-12-01,Leave
911,911,2024-12-01,Leave
912,912,2024-12-01,Present
913,913,2024-12-01,Half Day
914,914,2024-12-01,Present
915,915,2024-12-01,Present
916,916,2024-12-01,Leave
917,917,2024-12-01,Present
918,918,2024-12-01,Half Day
919,919,2024-12-01,Present
920,920,2024-12-01,Present
921,921,2024-12-01,Present
922,922,2024-12-01,Present
923,923,2024-12-01,Present
924,924,2024-12-01,Present
925,925,2024-12-01,Present
926,926,2024-12-01,Absent
927,927,2024-12-01,Leave
928,928,2024-12-01,Leave
929,929,2024-12-01,Half Day
930,930,2024-12-01,Present
931,931,2024-12-01,Present
932,932,2024-12-01,Present
933,933,2024-12-01,Leave
934,934,2024-12-01,Present
935,935,2024-12-01,Present
936,936,2024-12-01,Present
937,937,2024-12-01,Present
938,938,2024-12-01,Leave
939,939,2024-12-01,Present
940,940,2024-12-01,Present
941,941,2024-12-01,Leave
942,942,2024-12-01,Present
943,943,2024-12-01,Leave
944,944,2024-12-01,Half Day
