empID,project_id,role_in_project,assigned_date
117,22145,Lead,2024-03-26
118,55,Analyst,2024-05-13
118,5347,Developer,2023-05-27
118,12921,Analyst,2023-06-18
118,18651,Analyst,2025-01-02
119,6729,Analyst,2024-07-16
120,1718,Developer,2024-09-29
120,8955,Manager,2023-12-14
121,3607,Developer,2024-09-23
121,3792,Lead,2024-09-27
121,4686,Executive,2023-09-06
121,5075,Lead,2025-02-27
121,24372,Analyst,2023-07-23
122,1831,Manager,2025-02-16
122,2584,Analyst,2023-06-12
122,9199,Executive,2023-09-13
122,11817,Lead,2024-10-26
122,21339,Analyst,2023-06-25
123,1297,Developer,2024-11-05
123,8434,Lead,2023-11-12
123,18448,Developer,2024-11-28
123,18951,Executive,2024-10-19
123,23487,Lead,2024-08-20
124,1760,Executive,2024-01-08
124,6438,Manager,2023-06-09
124,8391,Developer,2024-04-09
124,15284,Developer,2023-09-02
125,7914,Manager,2024-09-16
125,10093,Analyst,2023-07-06
126,3721,Analyst,2023-10-14
127,2905,Lead,2025-01-06
127,11357,Lead,2024-12-24
127,22139,Lead,2023-11-01
127,22438,Developer,2025-02-08
128,4192,Manager,2023-11-10
128,5966,Developer,2023-09-07
128,12930,Analyst,2024-03-09
128,13105,Analyst,2024-07-09
128,15837,Executive,2024-03-06
129,3894,Lead,2024-07-12
129,16392,Lead,2024-12-29
130,1645,Executive,2024-09-25
130,6023,Executive,2023-12-28
130,15074,Developer,2023-11-03
130,19139,Developer,2023-06-16
131,11169,Analyst,2024-07-08
131,24469,Executive,2024-12-21
132,4275,Lead,2023-11-06
132,4825,Manager,2024-04-17
132,17852,Analyst,2024-09-03
133,2102,Developer,2023-12-18
133,2888,Developer,2024-07-14
133,6054,Manager,2023-08-14
133,23671,Executive,2025-01-29
134,3535,Lead,2025-05-17
135,4263,Executive,2025-03-23
135,8153,Analyst,2023-07-31
135,12068,Executive,2024-07-19
135,13520,Manager,2023-12-30
135,17086,Analyst,2023-10-22
136,10200,Manager,2023-06-10
136,19903,Analyst,2025-02-06
137,3366,Manager,2024-10-15
137,14717,Developer,2024-04-15
137,22751,Executive,2024-09-27
137,24185,Executive,2025-01-02
138,3946,Analyst,2024-01-25
138,12978,Developer,2024-01-07
138,16780,Lead,2023-11-29
139,3618,Lead,2023-06-07
139,18587,Lead,2023-05-29
140,6986,Analyst,2024-03-04
140,24032,Manager,2025-04-06
141,1891,Developer,2023-05-24
141,7494,Executive,2024-08-31
141,10544,Executive,2024-06-24
141,13216,Lead,2024-08-01
141,24666,Developer,2024-05-29
142,16030,Developer,2024-07-27
142,19515,Developer,2024-12-02
142,19765,Executive,2025-03-05
142,20309,Lead,2023-10-28
142,23569,Manager,2023-07-06
143,3047,Lead,2024-08-15
143,4408,Lead,2024-08-04
143,6831,Analyst,2024-09-28
143,16544,Developer,2024-03-02
143,20044,Executive,2024-02-28
144,95,Manager,2024-11-29
144,8037,Executive,2024-04-30
144,10709,Lead,2024-02-12
144,16681,Developer,2024-12-27
144,20503,Lead,2025-04-27
145,917,Manager,2024-12-17
145,8132,Analyst,2023-06-06
145,19900,Analyst,2023-10-09
146,14519,Analyst,2023-12-06
147,22093,Lead,2025-02-17
148,7823,Lead,2023-08-17
148,12401,Executive,2023-06-22
148,22556,Manager,2024-09-10
149,2368,Developer,2024-11-26
149,5665,Analyst,2023-12-01
149,6229,Lead,2025-04-07
149,14392,Executive,2024-03-17
150,2200,Developer,2023-08-16
150,14807,Analyst,2025-01-15
151,295,Lead,2023-06-20
151,1607,Analyst,2023-06-09
151,15916,Analyst,2023-08-02
151,23389,Executive,2024-09-24
152,2377,Manager,2023-11-07
152,12150,Analyst,2024-12-26
152,19177,Manager,2025-02-11
153,10539,Manager,2023-12-25
154,1814,Executive,2024-12-02
154,4377,Lead,2024-09-27
154,5088,Manager,2023-07-08
154,7859,Analyst,2024-02-06
154,24404,Manager,2024-10-08
155,117,Executive,2023-08-06
155,490,Lead,2023-09-17
155,6496,Executive,2025-05-22
155,6564,Analyst,2025-05-20
155,12127,Manager,2024-11-19
156,1268,Developer,2025-04-08
156,22062,Manager,2023-08-13
157,5105,Manager,2025-02-10
157,6452,Lead,2025-02-26
157,10193,Developer,2024-03-19
157,19789,Lead,2023-11-03
157,22862,Analyst,2024-02-02
158,6538,Developer,2025-04-26
158,8159,Developer,2024-09-12
158,21588,Lead,2024-01-12
158,24859,Manager,2024-03-22
159,5257,Lead,2025-02-09
159,13741,Executive,2024-10-27
160,20581,Developer,2023-06-25
161,12089,Executive,2024-05-05
161,14765,Analyst,2024-04-22
161,18130,Analyst,2023-05-25
162,4171,Manager,2023-10-30
162,12009,Executive,2025-02-03
162,19510,Developer,2025-04-16
163,6523,Developer,2024-06-26
163,6964,Manager,2024-08-07
163,11431,Executive,2024-01-03
163,15015,Analyst,2024-01-15
164,327,Developer,2023-06-29
164,938,Manager,2023-07-04
164,16458,Developer,2024-01-16
165,18851,Executive,2024-10-25
166,16091,Lead,2024-11-09
166,20182,Lead,2024-04-19
166,23183,Manager,2023-08-28
167,5945,Lead,2025-05-13
167,10537,Manager,2024-07-31
168,311,Analyst,2023-10-22
168,21151,Developer,2024-09-04
169,3145,Analyst,2025-02-07
169,4560,Lead,2023-09-24
169,7113,Lead,2025-01-28
169,13750,Analyst,2023-09-28
169,23530,Manager,2025-03-25
170,2091,Manager,2025-04-30
170,19076,Lead,2024-07-10
171,7451,Executive,2024-09-09
171,11533,Developer,2024-02-24
172,7702,Executive,2023-10-15
172,11967,Developer,2023-09-23
172,13689,Manager,2023-06-13
172,15996,Manager,2025-01-15
172,20915,Manager,2023-06-29
173,10341,Manager,2025-04-20
173,11380,Manager,2023-07-21
173,16947,Lead,2025-01-26
173,23476,Manager,2024-06-18
174,5026,Executive,2023-06-15
174,8471,Executive,2023-12-06
174,13705,Lead,2023-09-07
175,11540,Manager,2024-02-13
175,16602,Developer,2025-05-14
176,2680,Developer,2024-01-24
176,3472,Analyst,2025-05-12
176,15467,Developer,2024-08-29
177,7346,Lead,2023-12-21
177,8967,Manager,2024-02-22
177,18131,Executive,2025-01-19
178,1472,Executive,2024-11-29
178,8380,Manager,2024-11-28
178,23723,Analyst,2025-03-28
179,2227,Lead,2024-05-22
179,7041,Manager,2024-09-26
179,13026,Executive,2024-03-22
179,13052,Manager,2024-03-18
179,15754,Executive,2023-11-06
180,9797,Lead,2024-09-20
181,6893,Manager,2024-06-20
181,8917,Manager,2023-11-09
182,2865,Lead,2024-02-06
182,6961,Executive,2025-02-05
183,7403,Executive,2023-06-13
184,1356,Manager,2025-05-19
184,11098,Manager,2023-12-30
184,18013,Developer,2025-02-18
185,8209,Analyst,2024-10-05
185,15502,Lead,2023-08-05
185,24349,Manager,2025-05-19
186,7611,Executive,2025-02-09
187,21704,Executive,2023-12-22
188,12020,Executive,2023-10-05
188,17865,Developer,2023-09-24
188,20342,Lead,2023-07-30
188,22227,Analyst,2024-10-12
189,381,Analyst,2024-12-16
189,3798,Lead,2024-04-06
189,5605,Developer,2024-12-27
189,18726,Manager,2023-06-06
190,10624,Lead,2025-05-23
190,22507,Analyst,2023-08-25
190,22651,Lead,2023-09-19
190,23151,Lead,2024-05-14
191,20,Developer,2023-07-05
191,3172,Developer,2023-06-07
191,6400,Manager,2025-04-05
191,21897,Analyst,2025-01-27
192,11891,Developer,2023-06-24
192,13451,Executive,2023-06-16
193,18096,Developer,2025-03-10
194,5228,Manager,2023-06-17
194,17200,Executive,2023-06-16
194,23281,Manager,2024-11-20
194,24262,Lead,2024-12-08
195,5617,Manager,2023-07-27
195,10321,Executive,2024-07-12
195,13039,Lead,2024-08-31
195,23712,Executive,2024-11-15
196,18690,Analyst,2025-01-04
197,559,Developer,2024-10-24
197,11155,Executive,2023-05-24
197,18260,Analyst,2024-10-03
198,6331,Lead,2024-06-16
199,7467,Analyst,2024-11-06
199,12505,Lead,2024-06-13
199,21873,Manager,2024-08-22
200,1195,Developer,2024-03-10
201,3636,Manager,2025-03-30
201,3772,Executive,2024-11-19
201,4262,Analyst,2023-09-19
201,9759,Lead,2023-06-18
201,21154,Analyst,2023-10-31
202,2139,Lead,2025-05-08
202,5102,Executive,2024-03-19
202,7975,Developer,2023-09-09
202,22769,Executive,2024-11-07
203,1248,Manager,2023-12-29
203,5129,Executive,2023-10-28
203,11388,Manager,2025-01-07
203,16085,Manager,2025-01-08
203,20543,Manager,2024-11-01
204,9182,Manager,2024-10-28
204,15409,Executive,2023-07-04
204,15664,Analyst,2023-06-20
204,23653,Executive,2024-05-08
205,17360,Manager,2024-10-09
206,15913,Executive,2024-10-25
206,16037,Executive,2024-01-28
206,22594,Executive,2023-08-07
206,24509,Analyst,2023-11-06
207,1467,Analyst,2023-11-15
207,3140,Executive,2025-02-17
207,7220,Executive,2025-04-02
207,19037,Executive,2024-12-11
207,24635,Executive,2025-01-10
208,1194,Analyst,2023-10-12
208,11148,Analyst,2024-02-21
208,13242,Executive,2023-12-29
208,24200,Analyst,2023-08-21
209,15463,Lead,2024-01-04
209,16311,Developer,2024-09-02
209,18520,Developer,2023-09-06
209,23036,Analyst,2024-10-10
210,429,Executive,2024-04-08
210,6065,Lead,2024-09-12
210,7492,Manager,2023-10-01
210,21074,Manager,2025-04-24
211,2445,Analyst,2024-04-01
211,18812,Developer,2024-06-11
212,8142,Manager,2025-01-16
212,21772,Executive,2024-07-13
213,13770,Manager,2025-01-23
213,21788,Manager,2025-03-17
213,23128,Analyst,2025-01-12
214,20763,Executive,2024-11-12
215,8202,Lead,2024-10-23
215,10845,Lead,2023-10-06
215,15447,Lead,2024-01-12
216,10870,Executive,2024-11-12
216,16039,Developer,2023-08-28
216,17169,Lead,2023-06-15
216,22546,Executive,2023-06-17
217,12395,Developer,2023-07-27
218,8939,Lead,2023-06-16
218,9422,Executive,2023-10-10
218,11837,Manager,2024-03-10
218,13535,Lead,2023-12-13
218,24689,Analyst,2024-10-06
219,2006,Analyst,2024-03-24
219,6625,Lead,2024-03-06
219,7828,Analyst,2024-12-08
219,12270,Lead,2024-02-29
219,22429,Developer,2023-11-29
220,18343,Lead,2023-05-26
221,675,Lead,2024-03-20
221,24859,Analyst,2023-12-25
222,2772,Executive,2023-07-14
222,17797,Executive,2024-10-26
222,20570,Manager,2023-08-25
222,24897,Lead,2025-03-27
223,1871,Lead,2024-01-20
223,3120,Lead,2023-10-27
223,19262,Lead,2024-04-27
223,24309,Developer,2024-03-26
224,23653,Developer,2023-12-16
225,1911,Executive,2024-08-26
225,2586,Analyst,2023-08-23
225,6094,Manager,2024-02-13
225,15284,Executive,2024-06-06
226,792,Executive,2024-03-06
226,12335,Lead,2023-08-19
226,23016,Manager,2024-07-27
226,24338,Manager,2023-08-21
227,1255,Executive,2025-01-14
227,6365,Executive,2024-08-20
227,7175,Lead,2023-10-18
227,12204,Manager,2024-07-22
228,3532,Executive,2024-01-06
228,13224,Lead,2024-06-20
228,18652,Lead,2025-05-03
229,12163,Analyst,2024-05-23
230,14740,Manager,2025-04-14
230,23208,Manager,2025-05-22
230,24115,Analyst,2024-11-19
231,23237,Manager,2023-12-27
232,10119,Analyst,2023-11-13
232,11563,Manager,2025-03-03
232,16690,Executive,2023-07-24
233,1108,Manager,2025-03-14
233,16006,Manager,2024-02-21
233,24803,Manager,2025-04-16
234,5064,Analyst,2025-03-12
234,8355,Developer,2025-02-23
234,11384,Lead,2023-11-22
234,14631,Executive,2024-10-05
234,23428,Analyst,2025-03-26
235,2355,Developer,2024-11-15
235,7109,Developer,2025-03-12
235,8449,Analyst,2025-03-01
235,9646,Executive,2024-06-27
236,5841,Manager,2025-02-03
236,7753,Lead,2025-04-08
236,11399,Lead,2023-09-18
236,13169,Analyst,2025-02-24
237,3754,Executive,2024-05-14
237,6699,Developer,2023-07-10
237,8947,Developer,2024-10-23
237,14619,Executive,2023-07-27
237,21261,Lead,2024-09-14
238,14905,Lead,2024-07-30
238,21124,Manager,2023-06-06
239,4358,Developer,2023-06-18
239,10632,Lead,2024-10-29
239,14092,Lead,2023-07-28
239,20210,Analyst,2024-07-30
240,1398,Manager,2023-06-21
240,2725,Executive,2024-07-19
240,4266,Developer,2025-05-12
240,9206,Lead,2025-01-18
240,16686,Developer,2023-08-24
241,14377,Analyst,2023-09-09
241,15404,Lead,2024-10-27
242,12838,Manager,2024-01-31
242,21178,Lead,2024-08-24
243,1362,Manager,2023-09-29
243,5963,Lead,2023-10-31
243,7308,Manager,2023-06-27
243,14662,Analyst,2025-03-25
244,464,Developer,2023-07-16
244,12608,Lead,2024-05-24
245,65,Analyst,2024-05-09
245,3536,Developer,2024-01-25
245,18226,Analyst,2023-06-10
245,23901,Developer,2025-03-01
246,5434,Developer,2023-08-24
246,10591,Manager,2025-02-02
246,17382,Manager,2024-02-10
246,24517,Developer,2023-10-26
247,21850,Analyst,2024-06-16
247,24403,Analyst,2024-12-14
248,10429,Lead,2025-05-17
249,1701,Developer,2023-06-15
249,13505,Executive,2024-01-28
249,14775,Executive,2025-05-10
250,1479,Manager,2025-01-08
250,12004,Developer,2024-09-04
250,21102,Manager,2025-02-07
250,23157,Analyst,2024-09-20
251,2229,Lead,2024-05-21
252,12698,Executive,2024-03-24
253,2520,Manager,2023-11-08
253,13409,Manager,2025-03-01
253,16630,Lead,2023-07-08
253,22418,Executive,2023-10-14
254,2983,Developer,2024-12-25
254,20737,Lead,2023-12-24
254,23130,Executive,2023-09-13
255,2274,Manager,2024-10-14
255,6409,Analyst,2023-07-05
255,7464,Developer,2023-11-12
255,18586,Lead,2024-10-25
256,666,Lead,2023-11-25
257,10228,Manager,2023-12-12
258,10633,Lead,2025-04-27
258,12514,Lead,2024-02-15
258,21591,Analyst,2024-05-09
259,16052,Executive,2024-08-31
260,20187,Executive,2025-04-08
261,3952,Analyst,2023-12-20
261,7191,Lead,2024-01-01
261,7311,Lead,2023-10-11
261,12667,Developer,2023-09-06
261,14498,Manager,2024-09-10
262,4364,Lead,2023-08-11
263,445,Analyst,2024-11-08
263,2078,Lead,2024-06-29
263,14376,Manager,2024-02-21
264,9890,Analyst,2025-03-12
264,13896,Manager,2024-06-18
264,14814,Executive,2024-03-30
264,20284,Analyst,2024-03-05
264,21540,Manager,2023-06-05
265,15303,Developer,2025-03-21
266,8354,Lead,2024-01-15
266,16697,Developer,2024-11-17
267,18855,Manager,2023-12-22
268,11366,Manager,2024-12-20
269,7163,Lead,2024-04-12
269,11056,Lead,2024-08-24
269,21482,Analyst,2023-09-13
270,691,Manager,2023-08-21
270,7202,Analyst,2024-03-05
270,12907,Lead,2024-08-09
271,3355,Developer,2024-05-02
271,10695,Manager,2023-10-03
271,19119,Developer,2024-11-29
271,22911,Lead,2023-09-26
272,19521,Developer,2025-05-12
273,6220,Developer,2024-02-02
274,11249,Executive,2025-05-19
274,13309,Developer,2025-02-12
274,20983,Analyst,2025-04-22
275,3268,Lead,2023-07-06
275,12502,Analyst,2023-09-30
275,14882,Manager,2024-02-07
275,15269,Developer,2025-02-24
275,17093,Developer,2024-09-14
276,12236,Lead,2023-08-31
276,13448,Analyst,2024-05-12
276,22747,Lead,2024-08-28
277,17089,Executive,2024-02-21
278,9162,Developer,2023-09-05
279,6210,Lead,2023-07-03
279,6556,Executive,2025-01-01
279,12097,Manager,2024-06-30
279,12865,Lead,2024-03-25
280,16733,Developer,2023-12-06
281,1345,Analyst,2023-07-16
281,5694,Lead,2024-01-20
281,9042,Manager,2025-05-19
281,19479,Analyst,2024-01-13
282,3660,Executive,2024-05-15
282,8623,Lead,2024-01-19
282,16165,Executive,2025-02-11
282,24076,Analyst,2024-03-17
283,2776,Developer,2025-01-28
283,11266,Lead,2024-06-15
283,17149,Executive,2025-01-03
283,22322,Analyst,2025-04-23
283,23946,Analyst,2024-08-31
284,923,Analyst,2024-04-14
284,5013,Lead,2023-06-30
285,8301,Analyst,2024-04-24
285,21775,Executive,2024-01-12
286,5018,Analyst,2024-05-31
286,18350,Executive,2024-08-24
287,19813,Analyst,2024-10-19
287,21676,Lead,2024-11-26
287,22096,Executive,2023-12-17
287,22872,Manager,2024-06-04
288,13877,Developer,2024-11-27
288,16431,Lead,2024-07-26
289,5941,Manager,2024-07-11
